timestamp,log_id,confidence,model_name,cpu,detection_boxes,model_processing_time,image_processing_time,absolute_time_from_start,utility
2023-12-14T13:23:11.646,1426,0.668641885121663,yolov5m,20.7,18,0.0300748348236084,0.520869731903076,467.747037410736,0.59475580851237
2023-12-14T13:23:11.689,1427,0.662546967466672,yolov5m,19.1,12,0.0180418491363525,0.420158624649048,467.789736747742,0.54135279605786
2023-12-14T13:23:11.738,1428,0.718719475544416,yolov5m,13,13,0.0256443023681641,0.331766366958618,467.83920955658,0.525242921251517
2023-12-14T13:23:11.878,1429,0,yolov5m,16.1,0,0.0362467765808105,0.325762510299683,467.978862047195,-0.0871187448501587
2023-12-14T13:23:11.924,1430,0.709326233466466,yolov5m,14.9,15,0.0212993621826172,0.239460468292236,468.025032281876,0.474393350879351
2023-12-14T13:23:12.011,1431,0.481427909512269,yolov5m,14.6,19,0.0321259498596191,0.183759450912476,468.112069606781,0.0825936802123722
2023-12-14T13:23:12.045,1432,0.371027022600174,yolov5m,14.5,1,0.0215017795562744,0.0833761692047119,468.146224975586,-0.0727984040975571
2023-12-14T13:23:12.652,1433,0.545343140761058,yolov5m,9.9,15,0.0247740745544434,0.552865028381348,468.753530263901,0.549104084571203
2023-12-14T13:23:12.704,1434,0.658515276387334,yolov5m,16.7,16,0.0257720947265625,0.466513872146606,468.805354118347,0.56251457426697
2023-12-14T13:23:12.739,1435,0.607759155333042,yolov5m,21.8,12,0.0242524147033691,0.366231918334961,468.840041637421,0.486995536834002
2023-12-14T13:23:12.803,1436,0.702391555676093,yolov5m,15.4,13,0.0301170349121094,0.290950298309326,468.904331684113,0.49667092699271
2023-12-14T13:23:12.848,1437,0.568640932440758,yolov5m,15.7,18,0.0177700519561768,0.193160057067871,468.948974609375,0.380900494754314
2023-12-14T13:23:12.885,1438,0.464819929429463,yolov5m,12.1,7,0.0217602252960205,0.0895698070526123,468.986431121826,-0.0228051317589624
2023-12-14T13:23:13.509,1439,0.66007356159389,yolov5m,8.8,16,0.0290205478668213,0.565993070602417,469.610324144363,0.613033316098154
2023-12-14T13:23:13.543,1440,0,yolov5m,11.5,0,0.0213587284088135,0.45122218132019,469.644346952438,-0.0243889093399048
2023-12-14T13:23:13.585,1441,0.631121339706274,yolov5m,18.8,13,0.0220086574554443,0.341666460037231,469.686175107956,0.486393899871753
2023-12-14T13:23:13.631,1442,0.535174634721544,yolov5m,19.7,18,0.0248963832855225,0.239521741867065,469.732129335403,0.387348188294305
2023-12-14T13:23:13.658,1443,0.594515887399515,yolov5m,20.9,12,0.021367073059082,0.117668390274048,469.759198188782,0.356092138836781
2023-12-14T13:23:14.306,1444,0.595910141865412,yolov5m,18.3,15,0.0365045070648193,0.613981246948242,470.406759977341,0.604945694406827
2023-12-14T13:23:14.398,1445,0.654787914111064,yolov5m,20.8,13,0.0320405960083008,0.57214617729187,470.498974323273,0.613467045701467
2023-12-14T13:23:14.453,1446,0.566032321751118,yolov5m,25.8,20,0.0264618396759033,0.488146781921387,470.553725481033,0.527089551836252
2023-12-14T13:23:14.497,1447,0.755574975162745,yolov5m,29.6,16,0.0227499008178711,0.392219543457031,470.597701311112,0.573897259309888
